title,overview,genres,combined_features
Forgive Us Our Debts,"Threatened by creditors, a newly unemployed man agrees to work for a debt collector, but soon discovers his deal with the devil has unexpected costs.",Drama,"Forgive Us Our Debts.Drama.Threatened by creditors, a newly unemployed man agrees to work for a debt collector, but soon discovers his deal with the devil has unexpected costs."
Tarzan's New York Adventure,"Circus owner Buck Rand kidnaps Boy to perform in his show. He forces a pilot to fly him, Boy and his animal trainer out of the jungle. Tarzan and Jane follow them to New York.","Action, Adventure","Tarzan's New York Adventure.Action, Adventure.Circus owner Buck Rand kidnaps Boy to perform in his show. He forces a pilot to fly him, Boy and his animal trainer out of the jungle. Tarzan and Jane follow them to New York."
Secret Zoo,"A lawyer is given the mission of revitalising a bankrupt zoo that has no animals. When he and a group of zookeepers come up with the idea to dress like animals and his fake polar bear goes viral, the zoo becomes a hit, before his law firm’s real intentions are revealed.","Comedy, Drama","Secret Zoo.Comedy, Drama.A lawyer is given the mission of revitalising a bankrupt zoo that has no animals. When he and a group of zookeepers come up with the idea to dress like animals and his fake polar bear goes viral, the zoo becomes a hit, before his law firm’s real intentions are revealed."
Every Blessed Day,"Guido and Antonia are a young couple with opposing characters and working schedules: he works a night job as a doorman in a hotel, and she works as an employee for a rental car service. This is the story of what happens to Guido and Antonia when they decide to have a child.","Comedy, Romance","Every Blessed Day.Comedy, Romance.Guido and Antonia are a young couple with opposing characters and working schedules: he works a night job as a doorman in a hotel, and she works as an employee for a rental car service. This is the story of what happens to Guido and Antonia when they decide to have a child."
The Paradine Case,"Attorney Anthony Keane agrees to represent Londonite Mrs. Paradine, who has been fingered in her husband's murder. From the start, the married lawyer is drawn to the enigmatic beauty, and he begins to cast about for a way to exonerate his client. Keane puts the Paradine household servant on the stand, suggesting he is the killer. But Keane soon loses his way in the courtroom, and his half-baked plan sets off a stunning chain of events.","Mystery, Romance, Drama","The Paradine Case.Mystery, Romance, Drama.Attorney Anthony Keane agrees to represent Londonite Mrs. Paradine, who has been fingered in her husband's murder. From the start, the married lawyer is drawn to the enigmatic beauty, and he begins to cast about for a way to exonerate his client. Keane puts the Paradine household servant on the stand, suggesting he is the killer. But Keane soon loses his way in the courtroom, and his half-baked plan sets off a stunning chain of events."
The Strange Vice of Mrs Wardh,"When socialite and heiress Julie Wardh begins receiving blackmail letters attributed to a mysterious serial killer, she suspects her cruel and sadistic former lover Jean is behind them. With her husband Neil frequently out of town, she falls into the arms of her friend's cousin George, and as the unknown assassin begins to make his move, she fears that one of the three men in her life may be the killer.","Horror, Crime, Mystery","The Strange Vice of Mrs Wardh.Horror, Crime, Mystery.When socialite and heiress Julie Wardh begins receiving blackmail letters attributed to a mysterious serial killer, she suspects her cruel and sadistic former lover Jean is behind them. With her husband Neil frequently out of town, she falls into the arms of her friend's cousin George, and as the unknown assassin begins to make his move, she fears that one of the three men in her life may be the killer."
No Rest for the Wicked,"Madrid, the beginning of the century. One day, the police inspector Santos Trinidad coming home very drunk, is involved in a triple murder. But there is a witness who managed to escape and that could incriminate him. Santos undertakes an investigation to locate and eliminate the witness. Meanwhile, Chacón a judge in charge of investigating the triple murder, meticulously advances in the search for the murderer. Santos and Chacon soon discover that what seemed a simple case of drug trafficking is actually something far more dangerous.",Thriller,"No Rest for the Wicked.Thriller.Madrid, the beginning of the century. One day, the police inspector Santos Trinidad coming home very drunk, is involved in a triple murder. But there is a witness who managed to escape and that could incriminate him. Santos undertakes an investigation to locate and eliminate the witness. Meanwhile, Chacón a judge in charge of investigating the triple murder, meticulously advances in the search for the murderer. Santos and Chacon soon discover that what seemed a simple case of drug trafficking is actually something far more dangerous."
The Time to Live and the Time to Die,An autobiographical film based on Taiwanese director Hou Hsiao-hsien's memories of his youth growing up in Taiwan after emigrating from mainland China.,Drama,The Time to Live and the Time to Die.Drama.An autobiographical film based on Taiwanese director Hou Hsiao-hsien's memories of his youth growing up in Taiwan after emigrating from mainland China.
Guilty,A young woman from a small town accuses the college heartthrob of sexual assault.,"Thriller, Drama","Guilty.Thriller, Drama.A young woman from a small town accuses the college heartthrob of sexual assault."
Hot Bot,Hot Bot is the hilarious journey of two sexually repressed and unpopular teenage geeks who accidentally discover a life-like super-model sex bot.,"Comedy, Science Fiction","Hot Bot.Comedy, Science Fiction.Hot Bot is the hilarious journey of two sexually repressed and unpopular teenage geeks who accidentally discover a life-like super-model sex bot."
Just Say Yes,Incurable romantic Lotte finds her life upended when her plans for a picture-perfect wedding unravel -- just as her self-absorbed sister gets engaged.,"Comedy, Romance","Just Say Yes.Comedy, Romance.Incurable romantic Lotte finds her life upended when her plans for a picture-perfect wedding unravel -- just as her self-absorbed sister gets engaged."
The Tag-Along,Wei is nowhere to be found one day before his grandma returns from her own strange missing incident. Wei's girlfriend desperately searches for his whereabouts and discovers that a little girl in red followed them before their disappearance. Based on true events and long-circulating urban legend in Taiwan.,"Horror, Thriller","The Tag-Along.Horror, Thriller.Wei is nowhere to be found one day before his grandma returns from her own strange missing incident. Wei's girlfriend desperately searches for his whereabouts and discovers that a little girl in red followed them before their disappearance. Based on true events and long-circulating urban legend in Taiwan."
Romasanta: The Werewolf Hunt,"A terror is stalking the land: people are disappearing daily, their bodies appearing covered in savage gashes coupled with precise surgical cuts. The legend of the 'Werewolf of Allariz' spreads across the land like wildfire. When Barbara (Elsa Pataky) falls in love with travelling vendor Manuel Romasanta, she is at first besotted with him - but soon begins to be suspicious of him. What has happened to her sister, who - after being escorted by Romasanta to the city - seems to have disappeared forever.","Action, Horror","Romasanta: The Werewolf Hunt.Action, Horror.A terror is stalking the land: people are disappearing daily, their bodies appearing covered in savage gashes coupled with precise surgical cuts. The legend of the 'Werewolf of Allariz' spreads across the land like wildfire. When Barbara (Elsa Pataky) falls in love with travelling vendor Manuel Romasanta, she is at first besotted with him - but soon begins to be suspicious of him. What has happened to her sister, who - after being escorted by Romasanta to the city - seems to have disappeared forever."
Barbie: Star Light Adventure,"Barbie is a cosmic princess who flies high on her hoverboard through a far-off universe with her adorable and devoted pet sidekick, Pupcorn. One day, everything changes when the twinkling stars start to dim and slow their dance in the sky. Barbie travels to a beautiful new planet to join a special rescue team on a mission to save the stars. Once there, she teams up with a group of talented new friends who work together to save the galaxy through exciting hoverboarding adventures. Barbie soon discovers that if she listens to her heart, and with the help of her friends, she might be the leader the whole universe has been waiting for!","Animation, Family, Science Fiction","Barbie: Star Light Adventure.Animation, Family, Science Fiction.Barbie is a cosmic princess who flies high on her hoverboard through a far-off universe with her adorable and devoted pet sidekick, Pupcorn. One day, everything changes when the twinkling stars start to dim and slow their dance in the sky. Barbie travels to a beautiful new planet to join a special rescue team on a mission to save the stars. Once there, she teams up with a group of talented new friends who work together to save the galaxy through exciting hoverboarding adventures. Barbie soon discovers that if she listens to her heart, and with the help of her friends, she might be the leader the whole universe has been waiting for!"
Fatso,"Overweight loner Rino spends his days in seclusion, until his dad rents a room to an overtly sexual girl who challenges Rino to break down his walls.","Comedy, Drama","Fatso.Comedy, Drama.Overweight loner Rino spends his days in seclusion, until his dad rents a room to an overtly sexual girl who challenges Rino to break down his walls."
Soul Survivors,A college freshman involved in a fatal car crash discovers she may not have survived after all when she becomes caught between the worlds of the living and the dead.,"Horror, Mystery, Thriller","Soul Survivors.Horror, Mystery, Thriller.A college freshman involved in a fatal car crash discovers she may not have survived after all when she becomes caught between the worlds of the living and the dead."
House Party 2,Kid'N'Play leave their neighborhood and enter the world of adulthood and higher education. Play attempts to get rich quick in the music business while Kid faces the challenges of college.,Comedy,House Party 2.Comedy.Kid'N'Play leave their neighborhood and enter the world of adulthood and higher education. Play attempts to get rich quick in the music business while Kid faces the challenges of college.
Maradona by Kusturica,"A documentary on Argentinean soccer star Diego Maradona, regarded by many as the world's greatest modern player.",Documentary,"Maradona by Kusturica.Documentary.A documentary on Argentinean soccer star Diego Maradona, regarded by many as the world's greatest modern player."
Rambling Rose,"Rose is taken in by the Hillyer family to serve as a 1930s housemaid so that she can avoid falling into a life of prostitution. Her appearence and personality is such that all men fall for her, and she knows it. She can't help herself from getting into trouble with men.",Drama,"Rambling Rose.Drama.Rose is taken in by the Hillyer family to serve as a 1930s housemaid so that she can avoid falling into a life of prostitution. Her appearence and personality is such that all men fall for her, and she knows it. She can't help herself from getting into trouble with men."
Mountains of the Moon,"The story of Captain Richard Francis Burton's and Lt. John Hanning Speke's expedition to find the source of the Nile river in the name of Queen Victoria's British Empire. The film tells the story of their meeting, their friendship emerging amidst hardship, and then dissolving after their journey.","Adventure, Drama, History","Mountains of the Moon.Adventure, Drama, History.The story of Captain Richard Francis Burton's and Lt. John Hanning Speke's expedition to find the source of the Nile river in the name of Queen Victoria's British Empire. The film tells the story of their meeting, their friendship emerging amidst hardship, and then dissolving after their journey."
The Phantom of the Open,"Maurice Flitcroft, a dreamer and unrelenting optimist, managed to gain entry to The British Open Golf Championship qualifying in 1976 and subsequently shot the worst round in Open history, becoming a folk hero in the process.","Drama, Comedy","The Phantom of the Open.Drama, Comedy.Maurice Flitcroft, a dreamer and unrelenting optimist, managed to gain entry to The British Open Golf Championship qualifying in 1976 and subsequently shot the worst round in Open history, becoming a folk hero in the process."
Frisky,"The relationships between a veteran marshal, his bride-to-be, a rookie and his fiancée are severely tested when the young carabiniere is temporarily sent to a distant town.","Comedy, Romance","Frisky.Comedy, Romance.The relationships between a veteran marshal, his bride-to-be, a rookie and his fiancée are severely tested when the young carabiniere is temporarily sent to a distant town."
Queen of Katwe,A young girl overcomes her disadvantaged upbringing in the slums of Uganda to become a Chess master.,Drama,Queen of Katwe.Drama.A young girl overcomes her disadvantaged upbringing in the slums of Uganda to become a Chess master.
Dead or Alive,Ryūichi and his small gang of Triad vie for control of the Japanese underworld in a crime-ridden Shinjuku quarter while Detective Jojima tries to bring it down.,"Action, Thriller, Crime","Dead or Alive.Action, Thriller, Crime.Ryūichi and his small gang of Triad vie for control of the Japanese underworld in a crime-ridden Shinjuku quarter while Detective Jojima tries to bring it down."
Coming Home in the Dark,A school teacher is forced to confront a brutal act from his past when a pair of ruthless drifters takes him and his family on a nightmare road-trip.,"Thriller, Horror","Coming Home in the Dark.Thriller, Horror.A school teacher is forced to confront a brutal act from his past when a pair of ruthless drifters takes him and his family on a nightmare road-trip."
Becoming,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others.",Documentary,"Becoming.Documentary.Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others."
The Lovers,"A shallow, provincial wife finds her relationship with her preoccupied husband strained by romantic notions of love, leading her further towards Paris and the country wilderness.","Romance, Drama","The Lovers.Romance, Drama.A shallow, provincial wife finds her relationship with her preoccupied husband strained by romantic notions of love, leading her further towards Paris and the country wilderness."
The Second Arrival,"After Zane Ziminski is found dead five people received envelopes with details of an alien invasion. This group of five includes 3 scientists, Zane's brother Jack, and a reporter. Quickly, the group is down to three and then Jack and Bridget, the reporter. With a small piece of alien technology, they must escape from the aliens, who take human form, and try to convince others that aliens exist.","Science Fiction, Horror","The Second Arrival.Science Fiction, Horror.After Zane Ziminski is found dead five people received envelopes with details of an alien invasion. This group of five includes 3 scientists, Zane's brother Jack, and a reporter. Quickly, the group is down to three and then Jack and Bridget, the reporter. With a small piece of alien technology, they must escape from the aliens, who take human form, and try to convince others that aliens exist."
Lola,"Germany in the autumn of 1957: Lola, a seductive cabaret singer-prostitute exults in her power as a temptress of men, but she wants out—she wants money, property, and love. Pitting a corrupt building contractor against the new straight-arrow building commissioner, Lola launches an outrageous plan to elevate herself in a world where everything, and everyone, is for sale. Shot in childlike candy colors, Fassbinder’s homage to Josef von Sternberg’s classic The Blue Angel stands as a satiric tribute to capitalism.","Drama, Romance","Lola.Drama, Romance.Germany in the autumn of 1957: Lola, a seductive cabaret singer-prostitute exults in her power as a temptress of men, but she wants out—she wants money, property, and love. Pitting a corrupt building contractor against the new straight-arrow building commissioner, Lola launches an outrageous plan to elevate herself in a world where everything, and everyone, is for sale. Shot in childlike candy colors, Fassbinder’s homage to Josef von Sternberg’s classic The Blue Angel stands as a satiric tribute to capitalism."
The Fallen Idol,"Phillipe, the son of an ambassador in London, idolizes Baines, his father's butler, a kind of hero in the eyes of the child, whose perception changes when he accidentally discovers the secret that Baines keeps and witnesses the consequences that adults' lies can cause.","Drama, Thriller","The Fallen Idol.Drama, Thriller.Phillipe, the son of an ambassador in London, idolizes Baines, his father's butler, a kind of hero in the eyes of the child, whose perception changes when he accidentally discovers the secret that Baines keeps and witnesses the consequences that adults' lies can cause."
Big Trouble,"The story of how a mysterious suitcase brings together, and changes, the lives of a divorced dad, an unhappy housewife, two hitmen, a pair of street thugs, two love struck teens, two FBI men and a psychedelic toad. Based on Pulitzer Prize-winning humorist Dave Barry's best-selling first novel, ""Big Trouble.""","Action, Comedy, Thriller, Mystery","Big Trouble.Action, Comedy, Thriller, Mystery.The story of how a mysterious suitcase brings together, and changes, the lives of a divorced dad, an unhappy housewife, two hitmen, a pair of street thugs, two love struck teens, two FBI men and a psychedelic toad. Based on Pulitzer Prize-winning humorist Dave Barry's best-selling first novel, ""Big Trouble."""
Pluto's Christmas Tree,"Pluto comes bounding outside to help Mickey get a Christmas tree. Chip 'n Dale see him and make fun of him, but the tree they take refuge in is the one Mickey chops down. They like the decorations, especially the candy canes and Mickey's bowl of mixed nuts. But Pluto spots them and goes after them long before Mickey spots them. Minnie, Donald, and Goofy drop by to sing carols.","Animation, Comedy, Family","Pluto's Christmas Tree.Animation, Comedy, Family.Pluto comes bounding outside to help Mickey get a Christmas tree. Chip 'n Dale see him and make fun of him, but the tree they take refuge in is the one Mickey chops down. They like the decorations, especially the candy canes and Mickey's bowl of mixed nuts. But Pluto spots them and goes after them long before Mickey spots them. Minnie, Donald, and Goofy drop by to sing carols."
Gregory's Girl,A teenager falls hard for the female soccer player who has replaced him on the team and attempts to pursue her.,"Comedy, Romance","Gregory's Girl.Comedy, Romance.A teenager falls hard for the female soccer player who has replaced him on the team and attempts to pursue her."
Silk,"A scientist uses his invention - the ""Menger Sponge"" - to capture the energy of a dead child's spirit in an old building. In trying to determine why the energy of the ghost does not dissipate, the team discovers the identity and the dramatic story of the boy.","Drama, Horror, Thriller, Science Fiction, Mystery","Silk.Drama, Horror, Thriller, Science Fiction, Mystery.A scientist uses his invention - the ""Menger Sponge"" - to capture the energy of a dead child's spirit in an old building. In trying to determine why the energy of the ghost does not dissipate, the team discovers the identity and the dramatic story of the boy."
Neighbors,"One man's quiet suburban life takes a sickening lurch for the worse when a young couple move into the deserted house next door. From the word go it is obvious these are not the quiet professional types who *should* be living in such a nice street. As more and more unbelievable events unfold, our hero starts to question his own sanity... and those of his family.",Comedy,"Neighbors.Comedy.One man's quiet suburban life takes a sickening lurch for the worse when a young couple move into the deserted house next door. From the word go it is obvious these are not the quiet professional types who *should* be living in such a nice street. As more and more unbelievable events unfold, our hero starts to question his own sanity... and those of his family."
The Incredible Mr. Limpet,Milquetoast Henry Limpet experiences his fondest wish and is transformed into a fish. As a talking fish he assists the US Navy in hunting German submarines during World War II.,"Comedy, Family, Fantasy, Animation","The Incredible Mr. Limpet.Comedy, Family, Fantasy, Animation.Milquetoast Henry Limpet experiences his fondest wish and is transformed into a fish. As a talking fish he assists the US Navy in hunting German submarines during World War II."
Phineas and Ferb: Mission Marvel,Phineas and Ferb team up with the Avengers to save the world from Dr. Doofenshmirtz and a group of dangerous supervillains.,"Animation, Family, Comedy","Phineas and Ferb: Mission Marvel.Animation, Family, Comedy.Phineas and Ferb team up with the Avengers to save the world from Dr. Doofenshmirtz and a group of dangerous supervillains."
Nativity!,"Paul, charged with directing his school's Nativity play, falsely boasts that his ex-girlfriend plans to turn the production into a film.","Comedy, Family","Nativity!.Comedy, Family.Paul, charged with directing his school's Nativity play, falsely boasts that his ex-girlfriend plans to turn the production into a film."
Support the Girls,"Lisa Conroy is general manager at a highway-side 'sports bar with curves', Double Whammies. She nurtures and protects her employees fiercely - but over the course of one trying day, her optimism is battered from every direction. Double Whammies sells a big, weird American fantasy, but what happens when reality pokes a bunch of holes in it?","Drama, Comedy","Support the Girls.Drama, Comedy.Lisa Conroy is general manager at a highway-side 'sports bar with curves', Double Whammies. She nurtures and protects her employees fiercely - but over the course of one trying day, her optimism is battered from every direction. Double Whammies sells a big, weird American fantasy, but what happens when reality pokes a bunch of holes in it?"
Jubal,"Jubal Troop is a cowboy who is found in a weakened condition, without a horse. He is given shelter at Shep Horgan's large ranch, where he quickly makes an enemy in foreman Pinky, a cattleman who accuses Jubal of carrying the smell of sheep.","Action, Western, Drama","Jubal.Action, Western, Drama.Jubal Troop is a cowboy who is found in a weakened condition, without a horse. He is given shelter at Shep Horgan's large ranch, where he quickly makes an enemy in foreman Pinky, a cattleman who accuses Jubal of carrying the smell of sheep."
The White Storm,"An operation in Thailand against a notorious drug lord changes the destiny of a Hong Kong Police Department narcotic team. Five years later, a drug dealing brings them together again.","Drama, Action, Thriller","The White Storm.Drama, Action, Thriller.An operation in Thailand against a notorious drug lord changes the destiny of a Hong Kong Police Department narcotic team. Five years later, a drug dealing brings them together again."
One False Move,"Following a series of drug deals and murders, three criminals -- Fantasia, Ray Malcolm and Pluto -- travel from Los Angeles to Houston, finally arriving in a small Arkansas town to go into hiding. Two detectives from the LAPD, who are already on the case, contact the town's sheriff, Dale Dixon, to alert him of the fugitives' presence in the area. Underestimating Dixon, the criminals have no idea what they are about to face.","Crime, Drama, Thriller","One False Move.Crime, Drama, Thriller.Following a series of drug deals and murders, three criminals -- Fantasia, Ray Malcolm and Pluto -- travel from Los Angeles to Houston, finally arriving in a small Arkansas town to go into hiding. Two detectives from the LAPD, who are already on the case, contact the town's sheriff, Dale Dixon, to alert him of the fugitives' presence in the area. Underestimating Dixon, the criminals have no idea what they are about to face."
Rumba Therapy,"Tony is a macho middle-aged school bus driver in the provinces with no friends or relations. A sudden heart attack throws him into a tailspin. Tony's convinced he's going to die. When his cardiologist warns him : We all need others. Alone, we're nothing. Tony decides to reconnect with the daughter he abandoned twenty years earlier, when she was just a baby. Still a coward, he's unable to screw up the courage to actually confront her directly. So he decides to sign up for a dance class she's teaching in Paris. Incognito, of course. To get to know her gradually… in a desperate attempt to give some meaning to his empty life. In the process, he has more than a few dance steps to learn!",Comedy,"Rumba Therapy.Comedy.Tony is a macho middle-aged school bus driver in the provinces with no friends or relations. A sudden heart attack throws him into a tailspin. Tony's convinced he's going to die. When his cardiologist warns him : We all need others. Alone, we're nothing. Tony decides to reconnect with the daughter he abandoned twenty years earlier, when she was just a baby. Still a coward, he's unable to screw up the courage to actually confront her directly. So he decides to sign up for a dance class she's teaching in Paris. Incognito, of course. To get to know her gradually… in a desperate attempt to give some meaning to his empty life. In the process, he has more than a few dance steps to learn!"
Guava Island,"Deni Maroon, a musician and dock worker is determined to pull off a music festival against the interests of the local factory owner.","Comedy, Thriller, Music","Guava Island.Comedy, Thriller, Music.Deni Maroon, a musician and dock worker is determined to pull off a music festival against the interests of the local factory owner."
A la mala,"Maria Laura ""Mala"" is an actress with little luck, but she is successful working for other women, seducing their boyfriends to know if they are faithful or not. But everything changes when her dream to perform in her acting career depends on a job to be performed with Santiago who breaks the pattern and shakes her professional convictions.",Comedy,"A la mala.Comedy.Maria Laura ""Mala"" is an actress with little luck, but she is successful working for other women, seducing their boyfriends to know if they are faithful or not. But everything changes when her dream to perform in her acting career depends on a job to be performed with Santiago who breaks the pattern and shakes her professional convictions."
Don't Deliver Us from Evil,"Anne and Lore, neighbors and best friends, barely into their teens, board at a convent school where they have taken a vow to sin and to serve Satan. Anne keeps a secret diary, they read a salacious novel, they get a classmate in trouble, they spy on the nuns, they set aside their communion wafers; they make a pact of devotion.","Horror, Drama","Don't Deliver Us from Evil.Horror, Drama.Anne and Lore, neighbors and best friends, barely into their teens, board at a convent school where they have taken a vow to sin and to serve Satan. Anne keeps a secret diary, they read a salacious novel, they get a classmate in trouble, they spy on the nuns, they set aside their communion wafers; they make a pact of devotion."
Autumn Dreams,"With plans to leave their small town, teenage loves Annie and Ben elope. Their big city plans are halted, though, when Annie's parents have the marriage annulled. Ben moves to New York, while Annie stays in Iowa to help her family. Fifteen years later, both engaged to their respective fiancés, the two discover that their annulment was never finalized. They reunite to make their divorce legal, but begin to reminisce about what could have been. When romantic feelings resurface, Annie and Ben must decide if their past love could be the love of their future.","TV Movie, Romance","Autumn Dreams.TV Movie, Romance.With plans to leave their small town, teenage loves Annie and Ben elope. Their big city plans are halted, though, when Annie's parents have the marriage annulled. Ben moves to New York, while Annie stays in Iowa to help her family. Fifteen years later, both engaged to their respective fiancés, the two discover that their annulment was never finalized. They reunite to make their divorce legal, but begin to reminisce about what could have been. When romantic feelings resurface, Annie and Ben must decide if their past love could be the love of their future."
The Magician,"When 'Vogler's Magnetic Health Theater' comes to town, there's bound to be a spectacle. Reading reports of a variety of supernatural disturbances at Vogler's prior performances abroad, the leading townspeople (including the police chief and medical examiner) request that their troupe provide them a sample of their act, before allowing them public audiences. The scientific-minded disbelievers try to expose them as charlatans, but Vogler and his crew prove too clever for them.",Drama,"The Magician.Drama.When 'Vogler's Magnetic Health Theater' comes to town, there's bound to be a spectacle. Reading reports of a variety of supernatural disturbances at Vogler's prior performances abroad, the leading townspeople (including the police chief and medical examiner) request that their troupe provide them a sample of their act, before allowing them public audiences. The scientific-minded disbelievers try to expose them as charlatans, but Vogler and his crew prove too clever for them."
Drone,Ideologies collide with fatal results when a military drone contractor meets an enigmatic Pakistani businessman.,Thriller,Drone.Thriller.Ideologies collide with fatal results when a military drone contractor meets an enigmatic Pakistani businessman.
"Sex, Shame & Tears","A comedic drama featuring two couples and two old friends in Mexico City. Tomas visits Carlos and Ana, while Miguel and Andrea are joined by Maria. The presence of guests triggers lust, rejection, infidelities, reconciliation and other consequences.","Comedy, Drama, Romance","Sex, Shame & Tears.Comedy, Drama, Romance.A comedic drama featuring two couples and two old friends in Mexico City. Tomas visits Carlos and Ana, while Miguel and Andrea are joined by Maria. The presence of guests triggers lust, rejection, infidelities, reconciliation and other consequences."
Corky Romano,"Corky Romano is a bumbling, simpleton, veterinarian and the youngest, outcast son of an aging gangster, named Pops Romano, who calls upon Corky to infiltrate the local FBI and retrieve and destroy evidence being used to incriminate Pops for racketeering charges.","Action, Comedy, Crime","Corky Romano.Action, Comedy, Crime.Corky Romano is a bumbling, simpleton, veterinarian and the youngest, outcast son of an aging gangster, named Pops Romano, who calls upon Corky to infiltrate the local FBI and retrieve and destroy evidence being used to incriminate Pops for racketeering charges."
Brownian Movement,A psychiatrist's adulterous past continues to haunt her and her husband after they move to India.,"Romance, Drama","Brownian Movement.Romance, Drama.A psychiatrist's adulterous past continues to haunt her and her husband after they move to India."
Madly in Love,"Cristina is a rich, spoiled princess visiting Rome with her royal parents. The mission of their visit is to marry her off to a super-wealthy corporate type and thereby start to turn around the losses their small kingdom is experiencing in its casino business. These less-than-noble intentions get derailed when Barnaba, a zany bus driver enters their lives and falls madly in love with the gorgeous Cristina. He is nuts enough to succeed in this romantic chase after royalty, as love seems to fuel his determination to rid Cristina of her elitism and to make her see his own irrepressible attractions.",Comedy,"Madly in Love.Comedy.Cristina is a rich, spoiled princess visiting Rome with her royal parents. The mission of their visit is to marry her off to a super-wealthy corporate type and thereby start to turn around the losses their small kingdom is experiencing in its casino business. These less-than-noble intentions get derailed when Barnaba, a zany bus driver enters their lives and falls madly in love with the gorgeous Cristina. He is nuts enough to succeed in this romantic chase after royalty, as love seems to fuel his determination to rid Cristina of her elitism and to make her see his own irrepressible attractions."
Diary of a Chambermaid,"Celestine has a new job as a chambermaid for the quirky M. Monteil, his wife and her father. When the father dies, Celestine decides to quit her job and leave, but when a young girl is raped and murdered, Celestine believes that the Monteils' groundskeeper, Joseph, is guilty, and stays on in order to prove it. She uses her sexuality and the promise of marriage to get Joseph to confess -- but things do not go as planned.","Crime, Drama","Diary of a Chambermaid.Crime, Drama.Celestine has a new job as a chambermaid for the quirky M. Monteil, his wife and her father. When the father dies, Celestine decides to quit her job and leave, but when a young girl is raped and murdered, Celestine believes that the Monteils' groundskeeper, Joseph, is guilty, and stays on in order to prove it. She uses her sexuality and the promise of marriage to get Joseph to confess -- but things do not go as planned."
Deceiver,"The gruesome death of a prostitute brings suspicion on one of her clients, James Wayland, a brilliant, self-destructive and epileptic heir to a textile fortune. So detectives Braxton and Kennesaw take Wayland in for questioning, thinking they can break the man. But despite his troubles, Wayland is a master of manipulation, and during the interrogation, he begins to turn the tables on the investigators, forcing them to reveal their own sinister sides.","Mystery, Crime, Drama, Thriller","Deceiver.Mystery, Crime, Drama, Thriller.The gruesome death of a prostitute brings suspicion on one of her clients, James Wayland, a brilliant, self-destructive and epileptic heir to a textile fortune. So detectives Braxton and Kennesaw take Wayland in for questioning, thinking they can break the man. But despite his troubles, Wayland is a master of manipulation, and during the interrogation, he begins to turn the tables on the investigators, forcing them to reveal their own sinister sides."
A Page of Madness,A man takes a job at an asylum with hopes of freeing his imprisoned wife.,"Horror, Drama","A Page of Madness.Horror, Drama.A man takes a job at an asylum with hopes of freeing his imprisoned wife."
Blood and Money,A retired veteran hunting in the Allagash backcountry of Maine discovers a dead woman with a duffle bag full of money. He soon finds himself in a web of deceit and murder.,"Thriller, Crime, Drama, Action","Blood and Money.Thriller, Crime, Drama, Action.A retired veteran hunting in the Allagash backcountry of Maine discovers a dead woman with a duffle bag full of money. He soon finds himself in a web of deceit and murder."
Nine Days,A reclusive man conducts a series of interviews with human souls for a chance to be born.,"Drama, Fantasy","Nine Days.Drama, Fantasy.A reclusive man conducts a series of interviews with human souls for a chance to be born."
Your Vice Is a Locked Room and Only I Have the Key,"Oliviero is a drunk, burned-out writer who amuses himself by hosting orgies at his grand country manor and humiliating his wife Irina. When a number of women are murdered in grisly fashion, Oliviero becomes a prime suspect.","Horror, Mystery, Thriller","Your Vice Is a Locked Room and Only I Have the Key.Horror, Mystery, Thriller.Oliviero is a drunk, burned-out writer who amuses himself by hosting orgies at his grand country manor and humiliating his wife Irina. When a number of women are murdered in grisly fashion, Oliviero becomes a prime suspect."
My Little Monster,"Problem student Haru Yoshida sits next to the cold and studious Shizuku Mizutani in class. Without any other friends to turn to, both of them start to get to know each other and grow closer. Haru eventually develop feelings for Shizuku and confesses his feelings to her. Will Haru and Shizuku get their happily ever after?","Romance, Comedy, Drama","My Little Monster.Romance, Comedy, Drama.Problem student Haru Yoshida sits next to the cold and studious Shizuku Mizutani in class. Without any other friends to turn to, both of them start to get to know each other and grow closer. Haru eventually develop feelings for Shizuku and confesses his feelings to her. Will Haru and Shizuku get their happily ever after?"
The Even Stevens Movie,"The Stevens think that they've won an all-expenses-paid trip to an island that's halfway around the world. When their house is destroyed, their food stolen, and their bacon eaten, the Stevens family breaks apart in front of all their friends on live national television, while the island itself is only a short distance away from Sacramento!","TV Movie, Comedy, Family","The Even Stevens Movie.TV Movie, Comedy, Family.The Stevens think that they've won an all-expenses-paid trip to an island that's halfway around the world. When their house is destroyed, their food stolen, and their bacon eaten, the Stevens family breaks apart in front of all their friends on live national television, while the island itself is only a short distance away from Sacramento!"
The Story of the Last Chrysanthemum,"In late 19th century Tokyo, Kikunosuke Onoue, the adopted son of a legendary actor, himself an actor specializing in female roles, discovers that he is only praised for his acting due to his status as his father's heir. Devastated by this, he turns to Otoku, a servant of his family, for comfort, and they fall in love. Kikunosuke becomes determined to leave home and develop as an actor on his own merits, and Otoku faithfully follows him.","Romance, Drama","The Story of the Last Chrysanthemum.Romance, Drama.In late 19th century Tokyo, Kikunosuke Onoue, the adopted son of a legendary actor, himself an actor specializing in female roles, discovers that he is only praised for his acting due to his status as his father's heir. Devastated by this, he turns to Otoku, a servant of his family, for comfort, and they fall in love. Kikunosuke becomes determined to leave home and develop as an actor on his own merits, and Otoku faithfully follows him."
